v0,Cycle,Smoother,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,V,F,Jacobi,ColorGS,Line,ZebraLine,Cost,Cache
True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,100,6839
True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,100,3146
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,100,1437
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,100,4453
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,100,181
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,100,7291
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,True,True,True,True,True,True,100,4095
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,100,4417
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,True,100,5369
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,100,5380
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,100,7727
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,100,6267
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,100,2145
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,100,250
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,100,4835
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,100,4164
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,100,467
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,100,5003
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,100,11
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,100,6593
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,100,3230
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,100,513
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,100,7778
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,100,7283
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,100,6526
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,100,5379
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,100,3901
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,100,3485
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,100,3037
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,100,1985
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,100,6462
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,100,2408
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,True,100,7611
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,True,100,4954
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True,100,4868
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True,100,4249
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,100,4927
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,100,2615
True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,100,4091
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,100,1543
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,False,100,183
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,False,100,3310
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,100,6841
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,100,5120
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,100,5927
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,100,3356
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,100,626
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,100,4578
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,7678
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,6119
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,2344
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,100,4116
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,100,5312
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,100,7931
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,100,2322
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,100,6352
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,100,5378
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,100,1071
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,100,3234
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,100,2095
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,100,2187
True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,100,5869
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,100,3094
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,100,5145
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,100,7512
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,100,7593
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,100,3810
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,100,1535
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,100,5052
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,100,5030
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,100,2984
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,100,2771
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,100,1289
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,100,2349
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,100,4588
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,100,3351
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,100,1527
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,100,4440
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,100,5248
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,100,4634
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,100,1685
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,100,7946
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,100,1419
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,100,3410
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,100,5326
True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,100,3685
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,100,7344
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,100,3813
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,100,686
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,100,7464
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,100,2696
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,100,6208
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,100,5892
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,100,7485
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,100,5587
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,100,3512
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,100,1953
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,100,2143
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,100,3521
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,100,5309
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,100,4176
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,True,True,100,7838
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,100,7962
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,100,7866
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,100,6972
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,True,True,100,2865
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,100,6632
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,True,100,5711
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,100,7624
True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,100,7170
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,100,5790
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,100,5351
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,True,True,True,True,True,True,100,1013
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,100,3804
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,100,6027
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,100,2714
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,True,True,100,6460
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,100,5045
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,100,6895
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,False,True,100,3746
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,100,723
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,100,1357
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,100,3786
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,True,True,True,True,100,741
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,100,1618
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,100,186
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,100,992
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,100,1622
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,True,100,2373
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,True,True,100,4336
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,False,True,True,100,5476
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,False,True,100,6299
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,False,100,262
True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,100,562
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,100,1138
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,100,1627
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,100,4829
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,100,7445
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,100,7796
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,True,100,3001
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,True,True,True,100,7886
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,True,100,4942
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,False,True,True,100,184
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,False,True,100,279
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,False,100,7842
True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,100,5368
True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,100,7039
True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,100,5013
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,100,6403
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,100,693
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,100,1627
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,100,6334
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True,100,7577
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,True,True,True,100,486
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,100,5305
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,100,7682
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,100,5034
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,100,6149
True,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,100,1718
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,100,5874
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,100,6091
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,5669
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,100,6042
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,100,1897
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,100,3988
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,100,6542
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False,100,324
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,100,5283
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,False,100,1677
True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,100,693
True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,100,491
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,100,915
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,100,1629
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,True,True,True,True,100,6570
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,False,True,True,True,True,True,True,100,2624
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,100,1143
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,False,True,False,True,True,True,True,100,5613
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,100,2048
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,False,True,False,True,False,True,True,100,2112
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,True,100,1759
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,100,3868
True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,100,1604
True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,100,5135
